"nrg_bal","siec","unit","geo","time","values","hdd.ind","pop","demand","fechh","fechh.cap"
"FC_OTH_HH_E","TOTAL","KTOE","PL",2010-01-01,22003.223,1.15,38022869,0.65,20137.7323543478,0.00052962159047882
"FC_OTH_HH_E","TOTAL","KTOE","PT",2010-01-01,2970.645,1.05,10573479,0.27,2932.45099285714,0.000277340220078665
"FC_OTH_HH_E","TOTAL","KTOE","RO",2010-01-01,8102.009,1.01,20294683,0.63,8051.47171613861,0.000396728133971771
"FC_OTH_HH_E","TOTAL","KTOE","SE",2010-01-01,8282.685,1.16,9340682,0.55,7654.34337931034,0.000819463009158255
"FC_OTH_HH_E","TOTAL","KTOE","SI",2010-01-01,1364.215,1.09,2046976,0.63,1293.25078853211,0.000631786004590239
"FC_OTH_HH_E","TOTAL","KTOE","SK",2010-01-01,2311.582,1.06,5390410,0.67,2223.91634301887,0.000412569051893802
"FC_OTH_HH_E","TOTAL","KTOE","AT",2009-01-01,6492.475,0.97,8335003,0.69,6631.02575515464,0.000795563691477332
"FC_OTH_HH_E","TOTAL","KTOE","BE",2009-01-01,8537.269,1.03,10753080,0.74,8353.26184291262,0.000776825043886275
"FC_OTH_HH_E","TOTAL","KTOE","BG",2009-01-01,2114.011,0.95,7467119,0.53,2172.98078052632,0.000291006582394939
"FC_OTH_HH_E","TOTAL","KTOE","CY",2009-01-01,358.796,0.93,796930,0.35,368.248152688172,0.000462083436046042
"FC_OTH_HH_E","TOTAL","KTOE","CZ",2009-01-01,6656.571,0.99,10425783,0.68,6702.29290181818,0.000642857510253012
"FC_OTH_HH_E","TOTAL","KTOE","DE",2009-01-01,59464.701,1.01,82002356,0.66,59076.1197855446,0.000720419786299122
"FC_OTH_HH_E","TOTAL","KTOE","DK",2009-01-01,4510.054,1.01,5511451,0.63,4481.92198,0.000813201819266832
"FC_OTH_HH_E","TOTAL","KTOE","EE",2009-01-01,970.068,1.03,1335740,0.73,949.442282330097,0.000710798720057868
"FC_OTH_HH_E","TOTAL","KTOE","EL",2009-01-01,4887.508,0.92,11094745,0.54,5117.00837565217,0.000461210093215497
"FC_OTH_HH_E","TOTAL","KTOE","ES",2009-01-01,15967.794,0.95,46239273,0.43,16329.1703905263,0.000353145050323917
"FC_OTH_HH_E","TOTAL","KTOE","EU27_2020",2009-01-01,262211.737,1,440047892,0.64,262211.737,0.000595870908069252
"FC_OTH_HH_E","TOTAL","KTOE","FI",2009-01-01,5246.647,1.02,5326314,0.67,5177.72046098039,0.000972101994170902
