"geo","time","absolute","relative"
"IE",2006-01-01,13.12952,76.1946545725718
"IT",2006-01-01,135.65945,81.528012792606
"LT",2006-01-01,4.928854,173.52858958516
"LU",2006-01-01,4.410841,112.557633320914
"LV",2006-01-01,4.193556,203.727925923407
"MT",2006-01-01,0.466285,77.6559247231243
"NL",2006-01-01,53.759653,87.057318934668
"PL",2006-01-01,61.217304,201.14774265624
"PT",2006-01-01,18.743722,105.770825350839
"RO",2006-01-01,24.768212,210.086330764389
"SE",2006-01-01,33.149389,92.3341443475282
"SI",2006-01-01,5.121139,146.114114850965
"SK",2006-01-01,11.368306,195.17443846797
"AT",2005-01-01,27.86115,100.47027234037
"BE",2005-01-01,36.602232,108.49165776704
"BG",2005-01-01,10.137732,314.192400669435
"CY",2005-01-01,1.834,107.733427321056
"CZ",2005-01-01,26.148534,187.169368069335
"DE",2005-01-01,219.694691,90.8470110941892
"DK",2005-01-01,15.500476,64.4192759828209
"EE",2005-01-01,2.868431,190.645358536213
"EL",2005-01-01,21.022403,92.2664897623115
"ES",2005-01-01,98.117652,95.9380639075046
"EU27_2020",2005-01-01,1040.694802,99.5389947083287
"FI",2005-01-01,25.21855,140.363429717682
"FR",2005-01-01,160.14718,83.6096991882538
"HR",2005-01-01,7.239448,163.142490140845
"HU",2005-01-01,18.741555,186.64972617351
"IE",2005-01-01,12.612204,76.8379021861772
"IT",2005-01-01,137.21573,83.9399193657414
"LT",2005-01-01,4.668841,176.561119682943
"LU",2005-01-01,4.478383,121.157225796328
"LV",2005-01-01,4.01827,218.569548095124
"MT",2005-01-01,0.464345,79.2749342711783
"NL",2005-01-01,54.067783,90.5866037242389
"PL",2005-01-01,58.490818,203.972466020176
"PT",2005-01-01,19.01131,109.024183235174
"RO",2005-01-01,24.600038,225.412756692962
"SE",2005-01-01,33.243838,96.9148204250933
"SI",2005-01-01,5.131689,154.828703577991
"SK",2005-01-01,11.557519,215.275130757425
