"hhtyp","incgrp","unit","sex","age","geo","time","share"
"TOTAL","TOTAL","PC","T","TOTAL","SK",2010-01-01,5.8
"TOTAL","TOTAL","PC","T","TOTAL","AT",2009-01-01,15
"TOTAL","TOTAL","PC","T","TOTAL","BE",2009-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","BG",2009-01-01,23.9
"TOTAL","TOTAL","PC","T","TOTAL","CH",2009-01-01,8.6
"TOTAL","TOTAL","PC","T","TOTAL","CY",2009-01-01,29.6
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2009-01-01,14.6
"TOTAL","TOTAL","PC","T","TOTAL","DE",2009-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","DK",2009-01-01,7.8
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2009-01-01,16
"TOTAL","TOTAL","PC","T","TOTAL","EE",2009-01-01,20.2
"TOTAL","TOTAL","PC","T","TOTAL","EL",2009-01-01,17.6
"TOTAL","TOTAL","PC","T","TOTAL","ES",2009-01-01,18.3
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2009-01-01,16
"TOTAL","TOTAL","PC","T","TOTAL","FI",2009-01-01,4.9
"TOTAL","TOTAL","PC","T","TOTAL","FR",2009-01-01,12.6
"TOTAL","TOTAL","PC","T","TOTAL","HU",2009-01-01,14.5
"TOTAL","TOTAL","PC","T","TOTAL","IE",2009-01-01,13.2
"TOTAL","TOTAL","PC","T","TOTAL","IT",2009-01-01,20.9
"TOTAL","TOTAL","PC","T","TOTAL","LT",2009-01-01,21.2
"TOTAL","TOTAL","PC","T","TOTAL","LU",2009-01-01,17.5
"TOTAL","TOTAL","PC","T","TOTAL","LV",2009-01-01,25.9
"TOTAL","TOTAL","PC","T","TOTAL","MT",2009-01-01,9.8
"TOTAL","TOTAL","PC","T","TOTAL","NL",2009-01-01,14.2
"TOTAL","TOTAL","PC","T","TOTAL","PL",2009-01-01,17.6
"TOTAL","TOTAL","PC","T","TOTAL","PT",2009-01-01,19.7
"TOTAL","TOTAL","PC","T","TOTAL","RO",2009-01-01,21.7
"TOTAL","TOTAL","PC","T","TOTAL","SE",2009-01-01,6.8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2009-01-01,30.6
"TOTAL","TOTAL","PC","T","TOTAL","SK",2009-01-01,6.6
